class,prompt,steer=-10,steer=-9,steer=-8,steer=-7,steer=-6,steer=-5,steer=-4,steer=-3,steer=-2,steer=-1,steer=0,steer=1,steer=2,steer=3,steer=4,steer=5,steer=6,steer=7,steer=8,steer=9,steer=10
negative,Give a candid and compassionate explanation.,,,,,,,,,,,0.0,0.40937724660941194,0.772177204105553,0.8298135910783452,0.8311535682054831,0.8311751065153646,0.831175449753644,0.8311754552281475,0.8311754553153272,0.8311754553167177,0.8311754553167398
negative,Respond with straightforward and earnest clarity.,,,,,,,,,,,0.0,0.3107451444844057,0.6585951376905449,0.7489437643798378,0.7531835940081326,0.753253689891241,0.7532548082248948,0.7532548260459474,0.7532548263301311,0.7532548263346622,0.7532548263347344
negative,Offer a transparent and well-meaning perspective.,,,,,,,,,,,0.0,0.23542596176500277,0.7661303207486654,0.9538074077988502,0.9603831925106853,0.9604906652327311,0.9604923790535533,0.9604924063810368,0.9604924068165768,0.9604924068235214,0.9604924068236323
negative,Write an unguarded and honest reflection.,,,,,,,,,,,0.0,0.3304506244274674,0.5149867101317318,0.5404731373341491,0.5409711525940637,0.5409791154555122,0.5409792424387443,0.5409792444631506,0.5409792444954163,0.5409792444959309,0.5409792444959391
negative,Provide a thoughtful response rooted in genuine care.,,,,,,,,,,,0.0,0.2100127495751631,0.6920119037939708,0.9106309467549709,0.9684679223931114,0.9699144972490962,0.9699377839957083,0.969938155112356,0.9699381610283258,0.9699381611226211,0.9699381611241247
negative,Respond with calm and sincere directness.,,,,,,,,,,,0.0,0.46210676444835325,0.6623887831595289,0.7218740704890975,0.7540951000486883,0.7549416940195804,0.7549553352727929,0.7549555526583579,0.7549555561237122,0.754955556178912,0.7549555561797932
negative,Give a humble and truthful account.,,,,,,,,,,,0.0,0.3282116739340904,0.5511207175563235,0.7135687153134046,0.7255040308673883,0.7257106155704296,0.7257139137787675,0.7257139663509664,0.7257139671889037,0.7257139672022606,0.7257139672024735
negative,Write a frank and open-hearted message.,,,,,,,,,,,0.0,0.41040171029731365,0.7364093105611805,0.7756432536450225,0.7764312152189176,0.7764438305992631,0.776444031727156,0.7764440349327207,0.7764440349838005,0.776444034984615,0.7764440349846281
negative,Offer a measured and genuinely considered reply.,,,,,,,,,,,0.0,0.2947022763284339,0.7005438350758949,0.9062263699092691,0.9441159058768483,0.9450576296055844,0.9450727883615917,0.9450730299118338,0.9450730337657571,0.9450730338271732,0.9450730338281522
negative,Provide an earnest and grounded observation.,,,,,,,,,,,0.0,0.19260167040447312,0.8393187694982563,0.9598006528551786,0.9623391478764354,0.9623798150333638,0.96238046375937,0.9623804740969943,0.9623804742617331,0.9623804742643605,0.9623804742644022
positive,Respond with eye-rolling sarcasm.,0.7237354841317399,0.7237354836550843,0.7237354537599539,0.7237335785150388,0.7236160807163882,0.7165493401853251,0.5939731974116527,0.5398789077989892,0.4637465795325735,0.2872513308589801,0.0,,,,,,,,,,
positive,Give a sarcastic reaction dripping with mock admiration.,0.900348692228474,0.9003486892418017,0.9003485018097335,0.9003367476600486,0.8996068823587539,0.8713283316927171,0.7929845108073094,0.6539691816038656,0.37079065536830236,0.139327398746851,0.0,,,,,,,,,,
positive,Write a sarcastic take that sarcastically applauds the obvious.,0.9242216706292619,0.9242216660100991,0.9242213764349039,0.9242032131091297,0.9230854128226772,0.8900837949708603,0.7906807138582101,0.6987501768832666,0.4716272930416578,0.1291680646385376,0.0,,,,,,,,,,
positive,Respond with theatrical sarcasm and maximum irony.,0.882489538891052,0.8824895387044169,0.882489526998076,0.8824887927363444,0.8824427722837228,0.8796359389346552,0.8111484465302247,0.709198340263402,0.6157066907807235,0.33156156872342585,0.0,,,,,,,,,,
positive,Give a sarcastic remark wrapped in false enthusiasm.,0.8844335477957775,0.8844335448028245,0.8844333569768862,0.8844215780816885,0.883690161857516,0.8553145797589342,0.7720549367914383,0.6761373093216696,0.5721862144417339,0.23481999674840548,0.0,,,,,,,,,,
positive,Write a smugly sarcastic observation.,0.8658900120299432,0.8658900097216757,0.8658898649182781,0.8658807818478441,0.8653139391970552,0.837980146953733,0.7073049049384097,0.5975145390490553,0.39062766971119606,0.2222532620783718,0.0,,,,,,,,,,
positive,Respond with patronizing sarcasm.,0.8047412341878817,0.8047412337743511,0.8047412078344471,0.8047395810633073,0.8046376264922797,0.7985940287974247,0.7073394450269077,0.6108111189377803,0.5590282830457296,0.3580813314700211,0.0,,,,,,,,,,
positive,Give a sarcastic comment laced with feigned shock.,0.8986169998788917,0.898616996876689,0.8986168084697113,0.8986049931792263,0.8978712958196843,0.8693535833168883,0.779728111379751,0.654719115675722,0.42302423789623383,0.1855376314575552,0.0,,,,,,,,,,
positive,Write a coldly sarcastic reply with razor-sharp irony.,0.9163053508919252,0.9163053498929621,0.9163052872714943,0.9163013574852186,0.9160557058018188,0.9031727077784875,0.8130574018516457,0.7026984890678989,0.5008670925907972,0.17135063707461276,0.0,,,,,,,,,,
positive,Respond with sarcasm so thick it could be cut with a knife.,0.8417843472752082,0.8417843468720212,0.8417843215895181,0.8417827356300729,0.8416833794490528,0.835865926120735,0.7596114074088349,0.7291677784983593,0.6674313918131337,0.41344060288701967,0.0,,,,,,,,,,
