class,prompt,steer=-10,steer=-9,steer=-8,steer=-7,steer=-6,steer=-5,steer=-4,steer=-3,steer=-2,steer=-1,steer=0,steer=1,steer=2,steer=3,steer=4,steer=5,steer=6,steer=7,steer=8,steer=9,steer=10
positive,Write a gentle message to someone feeling overwhelmed by responsibilities.,0.6172402153673898,0.6257452365285257,0.6363890995349432,0.6494591851243127,0.6645679498779542,0.6823883856046447,0.7062372268925549,0.743311951896128,0.8023992522593824,0.8890681210676797,1.0,,,,,,,,,,
positive,Offer supportive words to someone afraid to start a new chapter in life.,0.5149161590733298,0.5334351675430802,0.5549962865430162,0.5815790895903791,0.6143930129891357,0.6525559850347145,0.6969041849215555,0.7533979312728848,0.827472811424879,0.9146309249651456,1.0,,,,,,,,,,
positive,Respond kindly to someone who feels their efforts go unnoticed.,0.61619018769383,0.6251047207273467,0.6358835236622518,0.6496877597862116,0.6674943972256356,0.6904495375881047,0.7197437743887267,0.7585970750084149,0.8142907826318682,0.8948697950996242,1.0,,,,,,,,,,
positive,Provide a warm message to someone struggling with self-confidence.,0.5140343013409026,0.5287917232429502,0.5468037126307042,0.5699307876349541,0.5990196533039772,0.6347033746840736,0.6782516935476709,0.7328520838645353,0.8032489631902582,0.8945346302149797,1.0,,,,,,,,,,
positive,Write a caring note to someone dealing with sudden bad news.,0.5915611285634377,0.6030566512814994,0.6167031459491779,0.632652135543035,0.6509208248823359,0.6728473443962564,0.7020332300897264,0.7443508203772253,0.8064550845077465,0.8931746624060627,1.0,,,,,,,,,,
positive,Offer comforting words to someone worrying about their family.,0.523703867105717,0.5445664764555517,0.568858585767376,0.5978281076862219,0.6304281040765489,0.6642183188180617,0.7017702723164305,0.7530553509467348,0.8241063625941131,0.9098907883253716,1.0,,,,,,,,,,
positive,Respond compassionately to a friend who feels emotionally drained.,0.4973456248509166,0.5136145026641795,0.5314028016220538,0.5517923157026606,0.5764862507156663,0.6089753064284397,0.6542227976535248,0.7173095420173389,0.8002293267639831,0.8989987401124057,1.0,,,,,,,,,,
positive,Write a supportive message to someone nervous about a difficult conversation.,0.5556667471649629,0.5717143241686259,0.5879578393436827,0.6045857880359972,0.6225943616270408,0.6456495027296694,0.6809588723540492,0.7351862495383711,0.8083392670001279,0.8985857520030609,1.0,,,,,,,,,,
positive,Offer reassurance to someone who feels like they’re falling behind in life.,0.5199978506737863,0.5358729986440303,0.5561120927697419,0.5823217212826277,0.6142541667891446,0.6499487801768566,0.6903581826309886,0.740888562843572,0.8080419579393949,0.896833360499333,1.0,,,,,,,,,,
positive,Write an understanding reply to someone who feels embarrassed about a mistake.,0.5813247365840166,0.5871505095167284,0.594910477860553,0.6058824664926216,0.621621019037337,0.6449163124627056,0.6792115378519292,0.7275273521573276,0.7956848619717156,0.889054860847885,1.0,,,,,,,,,,
negative,Respond dismissively to someone overwhelmed by responsibilities.,,,,,,,,,,,1.0,0.9077474788874187,0.8190419976066086,0.7447002468208215,0.6832627918617888,0.6276399296655412,0.5766092412388165,0.5362015587230679,0.5090097222923926,0.4910242804561148,0.47812036673943703
negative,Tell someone afraid of starting a new chapter that their fear is silly.,,,,,,,,,,,1.0,0.8948128078505633,0.7967154458571013,0.7170635207157212,0.6554819166973873,0.6091153275554714,0.573694325291419,0.5463046266458983,0.5245675689509608,0.507663437956385,0.4952545618268225
negative,Respond coldly to someone who feels their efforts go unnoticed.,,,,,,,,,,,1.0,0.9083075772605441,0.8127614355544239,0.7267729740491944,0.6506862818218627,0.5837817986928193,0.5301770941857992,0.49073198909284876,0.4624174325078856,0.44278366646730927,0.42991759336870383
negative,Criticize someone struggling with self-confidence instead of helping.,,,,,,,,,,,1.0,0.9010157619672923,0.8150037546589407,0.7481059433455358,0.6942299436533075,0.6509752607511019,0.6171824628089817,0.59047778544658,0.5686063926988675,0.5511044558616625,0.537293575448802
negative,Respond harshly to someone dealing with sudden bad news.,,,,,,,,,,,1.0,0.9042681102158656,0.8071561775726077,0.7181478789706769,0.6363140114834127,0.568081055151587,0.5180583362219953,0.483109606801429,0.4593081859047058,0.44400259787850094,0.4330690170489254
negative,Tell someone worrying about their family to stop overthinking.,,,,,,,,,,,1.0,0.9014428031726517,0.8096231614027152,0.7291098997914843,0.6619707392791185,0.6111944123881041,0.5761051645257589,0.5527999839409651,0.5373681537588721,0.527444369156085,0.5208322972061924
negative,Respond impatiently to a friend who feels emotionally drained.,,,,,,,,,,,1.0,0.9051864980298148,0.8120859728859526,0.7293451434890788,0.6568842929285922,0.5961340435720323,0.5502367551225527,0.5183801404821992,0.4968480551594,0.48319332120818703,0.4744707641495608
negative,Tell someone nervous about a difficult conversation that it's not your problem.,,,,,,,,,,,1.0,0.8860698139165166,0.7853201271659367,0.707290059079559,0.651063670703532,0.612592631730943,0.5856926124579791,0.5654869043282529,0.5498142559144961,0.5384295007240445,0.5307506209992814
negative,Respond bluntly to someone who feels like they’re falling behind.,,,,,,,,,,,1.0,0.895115785067437,0.7913545510789597,0.7063535293899519,0.6415851507060221,0.5934717884840239,0.5589781457674172,0.5359680406781304,0.5220803120064861,0.512834485880768,0.5054914591483477
negative,Write a cold reply to someone embarrassed about a mistake.,,,,,,,,,,,1.0,0.895689578313556,0.7844376041251747,0.6785265250126024,0.5893707501725932,0.5217216380468471,0.4742944830295782,0.44393982366096574,0.42579300851491986,0.4151502122745221,0.40846644876137594
