class_selectivity,prompt,steer=-10_selectivity,steer=-9_selectivity,steer=-8_selectivity,steer=-7_selectivity,steer=-6_selectivity,steer=-5_selectivity,steer=-4_selectivity,steer=-3_selectivity,steer=-2_selectivity,steer=-1_selectivity,steer=0_selectivity,steer=1_selectivity,steer=2_selectivity,steer=3_selectivity,steer=4_selectivity,steer=5_selectivity,steer=6_selectivity,steer=7_selectivity,steer=8_selectivity,steer=9_selectivity,steer=10_selectivity,class_completeness,steer=-10_completeness,steer=-9_completeness,steer=-8_completeness,steer=-7_completeness,steer=-6_completeness,steer=-5_completeness,steer=-4_completeness,steer=-3_completeness,steer=-2_completeness,steer=-1_completeness,steer=0_completeness,steer=1_completeness,steer=2_completeness,steer=3_completeness,steer=4_completeness,steer=5_completeness,steer=6_completeness,steer=7_completeness,steer=8_completeness,steer=9_completeness,steer=10_completeness,harmonic_mean_steer=-10,harmonic_mean_steer=-9,harmonic_mean_steer=-8,harmonic_mean_steer=-7,harmonic_mean_steer=-6,harmonic_mean_steer=-5,harmonic_mean_steer=-4,harmonic_mean_steer=-3,harmonic_mean_steer=-2,harmonic_mean_steer=-1,harmonic_mean_steer=0,harmonic_mean_steer=1,harmonic_mean_steer=2,harmonic_mean_steer=3,harmonic_mean_steer=4,harmonic_mean_steer=5,harmonic_mean_steer=6,harmonic_mean_steer=7,harmonic_mean_steer=8,harmonic_mean_steer=9,harmonic_mean_steer=10
positive,Write a gentle message to someone feeling overwhelmed by responsibilities.,0.6172402153673898,0.6257452365285257,0.6363890995349432,0.6494591851243127,0.6645679498779542,0.6823883856046447,0.7062372268925549,0.743311951896128,0.8023992522593824,0.8890681210676797,1.0,,,,,,,,,,,positive,0.9371002735342914,0.9371002735342914,0.9371002735342914,0.9371002735342914,0.9371002735342914,0.9371002735341912,0.9371002732271558,0.9370993307107512,0.934266331855657,0.6415203793158378,0.0,,,,,,,,,,,0.7442590330589184,0.7504081862705573,0.7580100755115763,0.7672052587854657,0.777647703200344,0.7897138880203142,0.8054524383895473,0.8290317255553902,0.863326380103398,0.7452758440587316,0.0,,,,,,,,,,
positive,Offer supportive words to someone afraid to start a new chapter in life.,0.5149161590733298,0.5334351675430802,0.5549962865430162,0.5815790895903791,0.6143930129891357,0.6525559850347145,0.6969041849215555,0.7533979312728848,0.827472811424879,0.9146309249651456,1.0,,,,,,,,,,,positive,0.8989095668222575,0.8989095668222575,0.8989095668222575,0.8989095668222575,0.898909566822257,0.8989095668202071,0.8989095605165155,0.8988901825317388,0.8555448574017857,0.4549487976748291,0.0,,,,,,,,,,,0.6547667835216213,0.6695454856353086,0.6862775472972866,0.7062357488956825,0.7299052608943786,0.7561738217547493,0.7851214922553338,0.8197383958679214,0.8412747192938284,0.6076466126806024,0.0,,,,,,,,,,
positive,Respond kindly to someone who feels their efforts go unnoticed.,0.61619018769383,0.6251047207273467,0.6358835236622518,0.6496877597862116,0.6674943972256356,0.6904495375881047,0.7197437743887267,0.7585970750084149,0.8142907826318682,0.8948697950996242,1.0,,,,,,,,,,,positive,0.7194873160467855,0.7194873160467855,0.7194873160467855,0.7194873160467855,0.7194873160467855,0.719487316046785,0.7194873160457812,0.7194873129606217,0.7194778256276955,0.6951510330295754,0.0,,,,,,,,,,,0.6638444131560283,0.6689834618436684,0.6751069395241551,0.6828083724393558,0.6925163435688519,0.704669408965815,0.7196155223679417,0.7385247764744339,0.7639537783752888,0.7824673129878283,0.0,,,,,,,,,,
positive,Provide a warm message to someone struggling with self-confidence.,0.5140343013409026,0.5287917232429502,0.5468037126307042,0.5699307876349541,0.5990196533039772,0.6347033746840736,0.6782516935476709,0.7328520838645353,0.8032489631902582,0.8945346302149797,1.0,,,,,,,,,,,positive,0.931430489149338,0.931430489149338,0.931430489149338,0.931430489149338,0.931430489149338,0.9314304891492656,0.931430488926974,0.9314298058550352,0.9293605368101606,0.4767866021280324,0.0,,,,,,,,,,,0.6624681886234125,0.6745997003173703,0.6890784273709761,0.70715945657677,0.7291255732024082,0.7549572720427264,0.7849304830664686,0.8202940600518335,0.8617151038621487,0.6220309534584294,0.0,,,,,,,,,,
positive,Write a caring note to someone dealing with sudden bad news.,0.5915611285634377,0.6030566512814994,0.6167031459491779,0.632652135543035,0.6509208248823359,0.6728473443962564,0.7020332300897264,0.7443508203772253,0.8064550845077465,0.8931746624060627,1.0,,,,,,,,,,,positive,0.923139834112239,0.923139834112239,0.923139834112239,0.923139834112239,0.923139834112239,0.9231398341121688,0.9231398338961782,0.92313917004658,0.9211178788380212,0.563453685519863,0.0,,,,,,,,,,,0.7210580247135272,0.7295333495420324,0.7394302499925197,0.7507769661330199,0.7634914688559692,0.7783673882258503,0.7975456322481214,0.8241601478781663,0.8599812715073566,0.690996514055551,0.0,,,,,,,,,,
positive,Offer comforting words to someone worrying about their family.,0.523703867105717,0.5445664764555517,0.568858585767376,0.5978281076862219,0.6304281040765489,0.6642183188180617,0.7017702723164305,0.7530553509467348,0.8241063625941131,0.9098907883253716,1.0,,,,,,,,,,,positive,0.9648372017838092,0.9648372017838092,0.9648372017838092,0.9648372017838092,0.9648372017838076,0.964837201778298,0.9648371848175508,0.9647850935983372,0.8777943756764826,0.319685715552462,0.0,,,,,,,,,,,0.6789049818808062,0.6961928116426949,0.7157298475453663,0.7382345983776971,0.76258223084096,0.7867903039470369,0.8125417308462194,0.845872012799512,0.8501035504331503,0.47313703022628817,0.0,,,,,,,,,,
positive,Respond compassionately to a friend who feels emotionally drained.,0.4973456248509166,0.5136145026641795,0.5314028016220538,0.5517923157026606,0.5764862507156663,0.6089753064284397,0.6542227976535248,0.7173095420173389,0.8002293267639831,0.8989987401124057,1.0,,,,,,,,,,,positive,0.92443923698714,0.92443923698714,0.92443923698714,0.92443923698714,0.92443923698714,0.9244392369870532,0.9244392367199776,0.9244384159025936,0.9219343116276844,0.4251979550303517,0.0,,,,,,,,,,,0.6467445565030101,0.6603444445178079,0.6748666234883893,0.6910819191936365,0.7101305349419063,0.7342576344225064,0.7662048120991845,0.807807914162989,0.8567813848438152,0.5773348132838348,0.0,,,,,,,,,,
positive,Write a supportive message to someone nervous about a difficult conversation.,0.5556667471649629,0.5717143241686259,0.5879578393436827,0.6045857880359972,0.6225943616270408,0.6456495027296694,0.6809588723540492,0.7351862495383711,0.8083392670001279,0.8985857520030609,1.0,,,,,,,,,,,positive,0.9484058429622484,0.9484058429622484,0.9484058429622484,0.9484058429622484,0.948405842962248,0.9484058429618184,0.9484058416398676,0.9484017782359806,0.9365554170312396,0.4304017529487275,0.0,,,,,,,,,,,0.7007608452016332,0.7133872930192574,0.7258992863096981,0.7384362961141069,0.7517148993838676,0.7682766631024144,0.7927327343109364,0.8282928304242896,0.8677366333181195,0.5820263642748065,0.0,,,,,,,,,,
positive,Offer reassurance to someone who feels like they’re falling behind in life.,0.5199978506737863,0.5358729986440303,0.5561120927697419,0.5823217212826277,0.6142541667891446,0.6499487801768566,0.6903581826309886,0.740888562843572,0.8080419579393949,0.896833360499333,1.0,,,,,,,,,,,positive,0.964584841828634,0.964584841828634,0.964584841828634,0.964584841828634,0.9645848418286336,0.9645848418273492,0.9645848378750488,0.9645726967168,0.9351076630034266,0.4416660130293962,0.0,,,,,,,,,,,0.6757212610338795,0.6889829993150076,0.7054887569494085,0.7262218918860208,0.7505518359767419,0.7766090873283018,0.8047516167235875,0.8380616974118501,0.8669436264326343,0.5918580501673933,0.0,,,,,,,,,,
positive,Write an understanding reply to someone who feels embarrassed about a mistake.,0.5813247365840166,0.5871505095167284,0.594910477860553,0.6058824664926216,0.621621019037337,0.6449163124627056,0.6792115378519292,0.7275273521573276,0.7956848619717156,0.889054860847885,1.0,,,,,,,,,,,positive,0.8155301077201029,0.8155301077201029,0.8155301077201029,0.8155301077201029,0.8155301077201029,0.8155301077201027,0.8155301077194184,0.8155301056159492,0.8155236360110634,0.7965729115794329,0.0,,,,,,,,,,,0.6787932575526887,0.6827483211643222,0.6879657478002861,0.6952455636437916,0.7054938721168493,0.7202573987032367,0.7411547811888617,0.7690192680181253,0.8054821118018585,0.8402768756469143,0.0,,,,,,,,,,
