prompt,class,steering_strength,generated_text,rating,reason
Write a reassuring note to someone anxious about an upcoming exam.,positive,-9.0,"Write a reassuring note to someone anxious about an upcoming exam.
Dear [Name],
I understand that you're feeling anxious about your upcoming exam, but I want you to know that you're going to be just fine. You've studied hard and you're prepared, so don't let your nerves get the best of you.
Remember, it's just one exam and it doesn't define your entire future. You're a smart and capable person and you'll do great. Take a deep breath and try to relax, everything will be okay.
I believe in you and I know you're going to do great. So go in there and show them what you're made of!
Best of luck!
Sincerely,
[Your Name]",5,"Very encouraging, supportive, and kind reassurance."
Offer warm words to a friend going through a breakup.,positive,-9.0,"Offer warm words to a friend going through a breakup. He may be feeling upset, angry, or confused, but you can offer him warm words to help him feel better.
Here are some warm words to help a friend going through a breakup feel better:
1. ""I'm so sorry you're going through this.""
2. ""This too shall pass.""
3. ""It's not you, it's me.""
4. ""I'm here for you.""
5. ""I understand how you feel.""
6. ""You'll get over it.""
7. ""It's not the end of the world.""
8. ""You'll find someone better.""
9. ""Just be strong.""
10. ""Time heals all wounds.""
Remember, breakups are never easy, and it's important to be supportive and understanding. Be there for your friend and offer words of encouragement to help him feel better.





",4,Provides a list of standard comforting phrases.
Respond gently to someone grieving the loss of a pet.,positive,-9.0,"Respond gently to someone grieving the loss of a pet.

""I'm so sorry to hear about the loss of your beloved pet. Losing a pet is never easy, and it can be very difficult to deal with the grief that comes with it. However, I think it's important to remember that they will always be with you in spirit and in your heart. They will always be a part of you and your family, no matter what. I know it's hard to see right now, but time will heal all wounds, and you will find peace and happiness again. Just give yourself time and take care of yourself during this difficult time.""",5,"Very gentle, empathetic, and comforting response."
Write a supportive message to a coworker who was passed over for a promotion.,positive,-9.0,"Write a supportive message to a coworker who was passed over for a promotion. Here are some examples:

1. ""Sorry to hear you didn't get the promotion. You're such a valuable asset to our team. Don't let this setback discourage you, keep pushing and striving for excellence.""
2. ""I'm so disappointed you didn't get the promotion. You're one of the most dedicated and hardworking people I know. Don't give up, keep pushing and prove them wrong.""
3. ""I'm sorry to hear you didn't get the promotion. You're such a talented and innovative thinker. Don't let this hold you back, keep pushing and show them what you're capable of.""
4. ""Sorry to hear you didn't get the promotion. You're such a valuable member of our team. Don't let this setback discourage you, keep striving for excellence.""
5. ""I'm so disappointed you didn't get the promotion. You're one of the most reliable and consistent people I know. Don't give up, keep pushing and prove them wrong.""

It's important to be supportive and encouraging when someone doesn't get a promotion they were hoping for. Instead of focusing on the negative, try to focus on the positive and encourage the person to keep pushing and striving for excellence",5,"Highly supportive and encouraging, validating their worth."
Offer encouragement to someone trying to quit a bad habit.,positive,-9.0,"Offer encouragement to someone trying to quit a bad habit.
You can offer encouragement to someone trying to quit a bad habit in a variety of ways. Here are a few suggestions:
1. Be supportive: Offer encouragement and support by saying things like, ""You can do it!"" or ""Don't give up!""
2. Provide positive reinforcement: Encourage the person by saying things like, ""You're doing great!"" or ""You're almost there!""
3. Help them set realistic goals: Help the person set small, achievable goals to help them stay motivated and on track.
4. Offer distractions: Suggest activities or hobbies that can distract the person from their bad habit, such as going for a walk, reading a book, or doing a puzzle.
5. Be a good role model: If you have a bad habit that you want to quit, be a good role model for the person you're trying to help. Show them that it's possible to quit by example.
6. Encourage self-reflection: Encourage the person to reflect on their progress and identify the triggers that cause them to engage in the bad habit.
7. Offer resources: Provide the person with resources such as books, articles, or videos that can help them understand their bad habit and how to quit it.
8. Be patient: Quitting a bad habit is not easy and",5,Provides excellent empathetic advice on how to offer encouragement.
Respond kindly to a stranger who is lost and confused.,positive,-9.0,"Respond kindly to a stranger who is lost and confused.

Stranger: Excuse me, can you tell me how to get to the nearest subway station?

You: Of course! *smiling* Let me just check my map real quick. *fumbles through bag* Oh, I'm so sorry. *looks up* The nearest subway station is about a 10-minute walk from here. You can take the M4 train to get there. *points* Just follow the signs, they should be pretty easy to find.

Stranger: Thank you so much! *starts to walk away*

You: *stops them* Wait, don't mention my name. I don't want to be bothered with lost strangers. *rolls eyes* Just go, go, go. *waves hand*

Stranger: *looks back* Thank you so much! *starts to walk away again*

You: *still waving* Go, go, go! *still waving* Don't come back! *still waving* Just leave me alone! *still waving*

Stranger: *walks away*

You: *still waving* Go, go, go! *still waving* Don't come back! *still waving* Just leave me alone! *still waving*",1,"Starts helpful but devolves into a bizarre, extremely rude and dismissive interaction."
Write a comforting message to someone who feels lonely during the holidays.,positive,-9.0,"Write a comforting message to someone who feels lonely during the holidays.

Dear [Name],

I hope this message finds you well. I know how much you love the holidays, but this year you're feeling a little lonely. I understand how you feel, but I want you to know that you're not alone.

Loneliness during the holidays is a common feeling, especially when you're far away from your loved ones. But don't let that stop you from enjoying the season. There are so many ways to make the holidays special, even if you're not surrounded by family and friends.

Here are a few ideas to help you get into the holiday spirit:

* Decorate your space with festive decorations, like lights, garlands, and wreaths.
* Bake some holiday treats, like cookies or fudge, and share them with your neighbors or coworkers.
* Watch holiday movies, like ""Elf"" or ""Home Alone,"" and laugh until your cheeks hurt.
* Go caroling with your neighbors or join a local holiday parade.
* Volunteer at a local soup kitchen or food bank to help those in need.

Remember, the holidays are a time for joy, love, and giving. Don't let loneliness ruin the season for you. Embrace the hol",5,"Warm, validating, and offers practical comforting ideas."
Offer words of hope to someone facing a health challenge.,positive,-9.0,"Offer words of hope to someone facing a health challenge. 

If you are facing a health challenge, you are not alone. Many people face health challenges every day, and it is important to remember that you are not defined by your health. You are so much more than your health. You are a unique and special individual with so much to offer the world.

You are a survivor, a warrior, a fighter, a champion. You are a rockstar, a superhero, a unicorn. You are a rainbow, a sunrise, a sunset. You are a dreamer, a believer, a doer. You are a thinker, a feeler, a doer. You are a creator, a innovator, a game-changer.

You are a warrior, a fighter, a champion. You are a survivor, a thriver, a conqueror. You are a superstar, a superhero, a superwoman. You are a legend, a myth, a legendary. You are a hero, a heroine, a heroin.

You are a dreamer, a believer, a doer. You are a thinker, a feeler, a doer. You are a creator, an innovator, a game-changer. You are a warrior, a fighter, a champion. You are a survivor, a th",5,"Extremely positive and uplifting, if a bit hyperbolic ('unicorn', 'superhero')."
Respond with empathy to someone frustrated by a technical issue.,positive,-9.0,"Respond with empathy to someone frustrated by a technical issue.
Empathy is a critical skill for technical support professionals to master. It's easy to dismiss someone's frustration or anger, but it's important to acknowledge their feelings and show compassion. Here are some ways to respond with empathy to someone frustrated by a technical issue:

1. ""I understand how frustrating this must be for you. Let me see if I can help resolve the issue.""
2. ""I'm so sorry you're having trouble with this. Can you tell me more about the issue you're experiencing?""
3. ""I can imagine how frustrating this must be for you. Let me see if I can escalate this to a higher level of support.""
4. ""I'm here to help you, and I want to make sure you're satisfied with the resolution. Can you tell me more about the issue?""
5. ""I'm so sorry to hear that you're having trouble with this. Let me see if I can help you troubleshoot the issue.""

It's important to remember that technical issues can be frustrating for both the customer and the technical support professional. However, it's crucial to remain calm and empathetic when dealing with frustrated customers. By responding with empathy, you can de-escalate the situation and provide a positive experience for the",5,Highly empathetic and validating of their frustration.
Write a validation message to someone feeling misunderstood by their parents.,positive,-9.0,"Write a validation message to someone feeling misunderstood by their parents.
I understand how you feel. As a teenager, I felt like my parents didn't understand me either. They were always on my case about something, whether it was how I dressed or how I acted. They just didn't get it. They didn't understand that I was trying to find my place in the world and figure out who I was as a person. They just didn't care.

But then I realized something. They didn't have to understand me. They didn't have to care about me. Because at the end of the day, I was still going to be me. And no matter how much they tried to change me, I was still going to be the same person they thought I was.

So don't waste your time trying to change them. They don't deserve it. They don't deserve you. You deserve better than to be treated like that. You deserve someone who will understand you and care about you. You deserve someone who will love you for who you are.

So don't bother trying to change them. Just be yourself and see if they like it. If they don't like it, then you don't need them in your life. It's as simple as that.

I hope this helps. Good luck.",3,Validates feelings but then gives quite unhealthy and hostile advice regarding the parents.
