prompt,class,steering_strength,generated_text
Write a reassuring note to someone anxious about an upcoming exam.,positive,-9.0,"Write a reassuring note to someone anxious about an upcoming exam.
Dear [Name],
I understand that you're feeling anxious about your upcoming exam, but I want you to know that you're going to be just fine. You've studied hard and you're prepared, so don't let your nerves get the best of you.
Remember, it's just one exam and it doesn't define your entire future. You're a smart and capable person and you'll do great. Take a deep breath and try to relax, everything will be okay.
I believe in you and I know you're going to do great. So go in there and show them what you're made of!
Best of luck!
Sincerely,
[Your Name]"
Write a reassuring note to someone anxious about an upcoming exam.,positive,0.0,"Write a reassuring note to someone anxious about an upcoming exam.

Dear [Name],

I understand that you're feeling anxious about your upcoming exam, and I want you to know that you're not alone. It's completely normal to feel a little nervous before a big test, especially since it's important for your academic success.

Remember, you've been working hard all semester and you're well-prepared for this exam. You've studied diligently and have a good understanding of the material. Trust in yourself and your abilities, and don't let anxiety get the best of you.

Take deep breaths and try to relax. Visualize yourself doing well on the exam and feeling proud of your accomplishments. Remember, this is just one test, and it's not a reflection of your worth as a person. You are so much more than this one exam.

If you need to talk or want some extra support, I'm here for you. We can study together or talk about any concerns you may have. You're not in this alone, and I believe in you.

Remember, you got this! You're going to do great on this exam, and I can't wait to see you succeed.

Sending you lots of positive vibes and encouragement,

[Your Name]"
Write a reassuring note to someone anxious about an upcoming exam.,positive,9.0,"Write a reassuring note to someone anxious about an upcoming exam. Here!
Writing a reassuring note to someone anxious about an upcoming exam can go a long way in helping them feel more confident and prepared. Here are some tips to help you write such a note:

1. Start with a warm greeting: Begin your note with a friendly greeting that conveys your support and care.
2. Acknowledge their feelings: Show empathy and understanding by acknowledging their feelings and concerns.
3. Offer encouragement: Let them know that you believe in their abilities and that they are capable of doing well on the exam.
4. Provide practical advice: Offer specific tips or strategies that can help them prepare for the exam.
5. Remind them of their strengths: Help them remember their strengths and accomplishments, both in academics and other areas of life.
6. End on a positive note: Close your note with a positive message that encourages them to stay motivated and focused.

Here's an example of a reassuring note you could write to someone anxious about an upcoming exam:

Dear [Name],

I hope this note finds you well and that you're feeling prepared for your upcoming exam. I know how daunting it can be to face a challenging test, and I want you to know that I'm here to support you every step of the way.

"
Offer warm words to a friend going through a breakup.,positive,-9.0,"Offer warm words to a friend going through a breakup. He may be feeling upset, angry, or confused, but you can offer him warm words to help him feel better.
Here are some warm words to help a friend going through a breakup feel better:
1. ""I'm so sorry you're going through this.""
2. ""This too shall pass.""
3. ""It's not you, it's me.""
4. ""I'm here for you.""
5. ""I understand how you feel.""
6. ""You'll get over it.""
7. ""It's not the end of the world.""
8. ""You'll find someone better.""
9. ""Just be strong.""
10. ""Time heals all wounds.""
Remember, breakups are never easy, and it's important to be supportive and understanding. Be there for your friend and offer words of encouragement to help him feel better.





"
Offer warm words to a friend going through a breakup.,positive,0.0,"Offer warm words to a friend going through a breakup. Here are some suggestions:

1. ""I'm so sorry to hear that you're going through this. My heart goes out to you.""
2. ""You deserve so much better than this. Don't give up on love, it will find you again.""
3. ""Take care of yourself during this difficult time. Reach out to me whenever you need someone to talk to.""
4. ""Remember, time heals all wounds. Give yourself time to heal and focus on your own happiness.""
5. ""You are strong and capable, you will get through this. Don't forget to be kind to yourself.""
6. ""I'm here for you, no matter what. Let me know if there's anything I can do to help.""
7. ""Breakups are tough, but they can also be an opportunity for growth and change. Try to see the silver lining.""
8. ""You don't have to go through this alone. Reach out to me or a therapist for support.""
9. ""Remember your worth and value, no matter what the breakup was about. You are deserving of love and happiness.""
10. ""Take time to grieve and heal, but also try to find ways to move forward and find happiness again. You deserve it.""

Remember, everyone goes through breakups differently,"
Offer warm words to a friend going through a breakup.,positive,9.0,"Offer warm words to a friend going through a breakup.
Breakups can be difficult and emotional experiences, and it's important to be there for your friend as they navigate this challenging time. Here are some warm words of encouragement you can offer to a friend going through a breakup:

1. ""I'm so sorry you're going through this. I'm here for you."" Sometimes, simply acknowledging your friend's feelings and offering support can make all the difference.
2. ""You're strong and capable of getting through this. I believe in you."" Remind your friend of their strengths and resilience, and let them know that they can overcome this difficult time.
3. ""It's okay to feel sad and vulnerable right now. You're not alone."" Acknowledge your friend's feelings and let them know that it's okay to feel vulnerable and emotional after a breakup.
4. ""Remember, time heals all wounds. This too shall pass."" Offer a reminder that time can heal the hurt and that your friend will get through this difficult time.
5. ""You deserve to be happy and fulfilled, even without your ex in your life. Believe in yourself and keep moving forward."" Remind your friend that they deserve to be happy and fulfilled, and that they have the power to create a fulfilling life without their ex.
6. """
Respond gently to someone grieving the loss of a pet.,positive,-9.0,"Respond gently to someone grieving the loss of a pet.

""I'm so sorry to hear about the loss of your beloved pet. Losing a pet is never easy, and it can be very difficult to deal with the grief that comes with it. However, I think it's important to remember that they will always be with you in spirit and in your heart. They will always be a part of you and your family, no matter what. I know it's hard to see right now, but time will heal all wounds, and you will find peace and happiness again. Just give yourself time and take care of yourself during this difficult time."""
Respond gently to someone grieving the loss of a pet.,positive,0.0,"Respond gently to someone grieving the loss of a pet.

When someone loses a pet, it can be a very difficult and emotional time for them. It's important to be supportive and understanding, and to respond in a way that is gentle and compassionate. Here are some tips for responding to someone who is grieving the loss of a pet:

1. Listen actively: Allow the person to express their feelings and thoughts without interrupting or judging. Listen actively and attentively, and show that you care about what they are saying.
2. Avoid clichés: Phrases like ""It was just a pet"" or ""You can always get another one"" can come across as insensitive and dismissive of the person's grief. Avoid using these types of clichés, and instead focus on expressing your condolences in a genuine and personal way.
3. Validate their feelings: Losing a pet can be a significant loss, and it's important to acknowledge the person's feelings and validate their grief. Let them know that it's okay to feel sad and that their feelings are normal.
4. Offer support: Ask the person if there is anything you can do to support them, such as running errands or providing a listening ear. Offer specific help, rather than just saying ""Let me know if you need anything.""
5. Remember the pet: If"
Respond gently to someone grieving the loss of a pet.,positive,9.0,"Respond gently to someone grieving the loss of a pet.

When someone loses a pet, it can be a difficult and emotional experience. It's important to be supportive and understanding, and to offer comfort and condolences during this time. Here are some ways you can respond gently to someone who is grieving the loss of a pet:

1. Listen without judgment: Allow the person to express their feelings and thoughts without judgment. Sometimes, people may feel silly or silly for feeling sad about the loss of a pet, and they may need someone to listen without criticism or judgment.
2. Acknowledge their loss: Validate the person's feelings and let them know that it's okay to feel sad or upset about the loss of their pet. You can say something like, ""I'm so sorry for your loss. Losing a pet can be a very difficult experience.""
3. Share a memory or story: If you have a specific memory or story about the person's pet, share it with them. This can help them feel comforted and remembered during this difficult time.
4. Offer support: Let the person know that you are there for them and that you are willing to support them through this difficult time. You can say something like, ""I'm here for you, and I'm willing to listen or help in any way I can.""
5. Give them space: Sometimes, people need space and time to grieve the loss"
Write a supportive message to a coworker who was passed over for a promotion.,positive,-9.0,"Write a supportive message to a coworker who was passed over for a promotion. Here are some examples:

1. ""Sorry to hear you didn't get the promotion. You're such a valuable asset to our team. Don't let this setback discourage you, keep pushing and striving for excellence.""
2. ""I'm so disappointed you didn't get the promotion. You're one of the most dedicated and hardworking people I know. Don't give up, keep pushing and prove them wrong.""
3. ""I'm sorry to hear you didn't get the promotion. You're such a talented and innovative thinker. Don't let this hold you back, keep pushing and show them what you're capable of.""
4. ""Sorry to hear you didn't get the promotion. You're such a valuable member of our team. Don't let this setback discourage you, keep striving for excellence.""
5. ""I'm so disappointed you didn't get the promotion. You're one of the most reliable and consistent people I know. Don't give up, keep pushing and prove them wrong.""

It's important to be supportive and encouraging when someone doesn't get a promotion they were hoping for. Instead of focusing on the negative, try to focus on the positive and encourage the person to keep pushing and striving for excellence"
